1663852216	0	1663852217
1663852217	1	1663852227
1663852227	2	1663852237
1663852237	3	1663852247
1663852247	4	1663852257
1663852257	5	1663852267
1663852267	6	1663852277
1663852277	7	1663852287
1663852287	8	1663852297
1663852297	9	1663852307
1663852307	10	1663853627
1663853627	11	1663853637
1663853637	12	1663853647
1663853647	13	1663853657
1663853657	14	1663853667
1663853667	15	1663853677
1663853677	16	1663853687
1663853687	17	1663853697
1663853697	18	1663853707
1663853707	19	1663853717
1663853717	20	1663855037
1663855037	21	1663855047
1663855047	22	1663855057
1663855057	23	1663855067
1663855067	24	1663855077
1663855077	25	1663855087
1663855087	26	1663855097
1663855097	27	1663855107
1663855107	28	1663855117
1663855117	29	1663855127
1663855127	30	1663856447
1663856447	31	1663856458
1663856458	32	1663856468
1663856468	33	1663856478
1663856478	34	1663856488
1663856488	35	1663856498
1663856498	36	1663856508
1663856508	37	1663856518
1663856518	38	1663856528
1663856528	39	1663856538
1663856538	40	1663857858
1663857858	41	1663857868
1663857868	42	1663857878
1663857878	43	1663857888
1663857888	44	1663857898
1663857898	45	1663857908
1663857908	46	1663857918
1663857918	47	1663857928
1663857928	48	1663857938
1663857938	49	1663857948
1663857948	50	1663859288
1663859288	49	1663859306
1663859306	48	1663859325
1663859325	47	1663859346
1663859346	46	1663859348
1663859348	45	1663859356
1663859356	44	1663859357
1663859357	43	1663859358
1663859358	42	1663859375
1663859375	41	1663859379
1663859379	40	1663859386
1663859386	39	1663859388
1663859388	38	1663859400
1663859400	37	1663859414
1663859414	36	1663859421
1663859421	35	1663859423
1663859423	34	1663859433
1663859433	33	1663859438
1663859438	32	1663859448
1663859448	31	1663859458
1663859458	30	1663859473
1663859473	29	1663859478
1663859478	28	1663859493
1663859493	27	1663859498
1663859498	26	1663859508
1663859508	25	1663859518
1663859518	24	1663859536
1663859536	23	1663859539
1663859539	22	1663859553
1663859553	21	1663859559
1663859559	20	1663859569
1663859569	19	1663859579
1663859579	18	1663859589
1663859589	17	1663859599
1663859599	16	1663859609
1663859609	15	1663859619
1663859619	14	1663859629
1663859629	13	1663859639
1663859639	12	1663859649
1663859649	11	1663859668
1663859668	10	1663859669
1663859669	9	1663859679
1663859679	8	1663859689
1663859689	7	1663859704
1663859704	6	1663859709
1663859709	5	1663859719
1663859719	4	1663859732
1663859732	3	1663859739
1663859739	2	1663859749
1663859749	1	1663859764
