offline_datapoint_1 1664213534 19,550
offline_datapoint_0 1664213536 7740649472,000
offline_datapoint_2 1664213534 12,685
offline_datapoint_4 1664213534 1309,143
offline_datapoint_3 1664213534 1,379
offline_datapoint_1 1664213537 19,656
offline_datapoint_0 1664213539 7744192512,000
offline_datapoint_2 1664213537 2,420
offline_datapoint_4 1664213537 774,867
offline_datapoint_3 1664213537 1,063
offline_datapoint_1 1664213540 19,665
offline_datapoint_0 1664213542 7746097152,000
offline_datapoint_2 1664213540 1,758
offline_datapoint_4 1664213540 914,862
offline_datapoint_3 1664213540 0,590
offline_datapoint_1 1664213543 19,670
offline_datapoint_0 1664213545 7767052288,000
offline_datapoint_2 1664213543 3,675
offline_datapoint_4 1664213543 1020,371
offline_datapoint_3 1664213543 1,732
offline_datapoint_1 1664213546 19,723
offline_datapoint_0 1664213548 7766818816,000
offline_datapoint_2 1664213546 2,258
offline_datapoint_4 1664213546 750,861
offline_datapoint_3 1664213546 1,252
offline_datapoint_1 1664213549 19,722
offline_datapoint_0 1664213551 7766450176,000
offline_datapoint_2 1664213549 1,516
offline_datapoint_4 1664213549 803,297
offline_datapoint_3 1664213549 1,321
offline_datapoint_1 1664213552 19,721
offline_datapoint_0 1664213554 7788777472,000
offline_datapoint_2 1664213552 3,434
offline_datapoint_4 1664213552 907,559
offline_datapoint_3 1664213552 0,866
offline_datapoint_1 1664213555 19,778
offline_datapoint_0 1664213557 7790227456,000
offline_datapoint_2 1664213555 2,002
offline_datapoint_4 1664213555 827,721
offline_datapoint_3 1664213555 1,280
offline_datapoint_1 1664213558 19,782
offline_datapoint_0 1664213560 7791665152,000
offline_datapoint_2 1664213558 2,311
offline_datapoint_4 1664213558 872,048
offline_datapoint_3 1664213558 1,364
offline_datapoint_1 1664213561 19,785
offline_datapoint_0 1664213563 7793647616,000
offline_datapoint_2 1664213561 1,476
offline_datapoint_4 1664213561 663,127
offline_datapoint_3 1664213561 1,553
offline_datapoint_1 1664213564 19,790
offline_datapoint_0 1664213566 7821762560,000
offline_datapoint_2 1664213564 5,149
offline_datapoint_4 1664213564 953,291
offline_datapoint_3 1664213564 1,215
offline_datapoint_1 1664213567 19,862
offline_datapoint_0 1664213569 7824117760,000
offline_datapoint_2 1664213567 1,685
offline_datapoint_4 1664213567 848,022
offline_datapoint_3 1664213567 1,268
offline_datapoint_1 1664213570 19,868
offline_datapoint_0 1664213572 7823437824,000
offline_datapoint_2 1664213570 2,478
offline_datapoint_4 1664213570 975,003
offline_datapoint_3 1664213570 0,698
offline_datapoint_1 1664213573 19,866
offline_datapoint_0 1664213575 7823810560,000
offline_datapoint_2 1664213573 3,182
offline_datapoint_4 1664213573 982,207
offline_datapoint_3 1664213573 1,249
offline_datapoint_1 1664213576 19,867
offline_datapoint_0 1664213578 7826624512,000
offline_datapoint_2 1664213576 1,050
offline_datapoint_4 1664213576 701,212
offline_datapoint_3 1664213576 1,034
offline_datapoint_1 1664213579 19,874
offline_datapoint_0 1664213581 7827955712,000
offline_datapoint_2 1664213579 2,469
offline_datapoint_4 1664213579 830,121
offline_datapoint_3 1664213579 1,378
offline_datapoint_1 1664213582 19,877
offline_datapoint_0 1664213584 7856824320,000
offline_datapoint_2 1664213582 2,453
offline_datapoint_4 1664213582 869,931
offline_datapoint_3 1664213582 1,489
offline_datapoint_1 1664213585 19,951
offline_datapoint_0 1664213587 7843356672,000
offline_datapoint_2 1664213585 2,874
offline_datapoint_4 1664213585 930,245
offline_datapoint_3 1664213585 2,038
offline_datapoint_1 1664213588 19,916
offline_datapoint_0 1664213590 7837728768,000
offline_datapoint_2 1664213588 1,955
offline_datapoint_4 1664213588 891,000
offline_datapoint_3 1664213588 1,445
offline_datapoint_1 1664213591 19,902
offline_datapoint_0 1664213593 7836749824,000
offline_datapoint_2 1664213591 1,633
offline_datapoint_4 1664213591 921,059
offline_datapoint_3 1664213591 1,419
offline_datapoint_1 1664213594 19,900
offline_datapoint_0 1664213596 7862378496,000
offline_datapoint_2 1664213594 3,831
offline_datapoint_4 1664213594 980,767
offline_datapoint_3 1664213594 1,083
offline_datapoint_1 1664213597 19,965
offline_datapoint_0 1664213599 7861719040,000
offline_datapoint_2 1664213597 2,876
offline_datapoint_4 1664213597 757,062
offline_datapoint_3 1664213597 1,284
offline_datapoint_1 1664213600 19,963
offline_datapoint_0 1664213602 7860187136,000
offline_datapoint_2 1664213600 2,211
offline_datapoint_4 1664213600 765,086
offline_datapoint_3 1664213600 1,010
offline_datapoint_1 1664213603 19,959
offline_datapoint_0 1664213605 7864651776,000
offline_datapoint_2 1664213603 3,424
offline_datapoint_4 1664213603 925,016
offline_datapoint_3 1664213603 1,317
offline_datapoint_1 1664213606 19,971
offline_datapoint_0 1664213608 7867691008,000
offline_datapoint_2 1664213606 2,221
offline_datapoint_4 1664213606 804,194
offline_datapoint_3 1664213606 1,435
offline_datapoint_1 1664213609 19,978
offline_datapoint_0 1664213611 7874080768,000
offline_datapoint_2 1664213609 3,105
offline_datapoint_4 1664213609 842,455
offline_datapoint_3 1664213609 1,361
offline_datapoint_1 1664213612 19,994
offline_datapoint_0 1664213614 7879294976,000
offline_datapoint_2 1664213612 2,530
offline_datapoint_4 1664213612 841,845
offline_datapoint_3 1664213612 1,471
offline_datapoint_1 1664213615 20,008
offline_datapoint_0 1664213617 7878078464,000
offline_datapoint_2 1664213615 2,188
offline_datapoint_4 1664213615 876,817
offline_datapoint_3 1664213615 1,385
offline_datapoint_1 1664213618 20,005
offline_datapoint_0 1664213620 7875448832,000
offline_datapoint_2 1664213618 3,164
offline_datapoint_4 1664213618 935,351
offline_datapoint_3 1664213618 1,012
offline_datapoint_1 1664213621 19,998
offline_datapoint_0 1664213623 7875551232,000
offline_datapoint_2 1664213621 2,697
offline_datapoint_4 1664213621 807,487
offline_datapoint_3 1664213621 1,634
offline_datapoint_1 1664213624 19,998
offline_datapoint_0 1664213626 7877701632,000
offline_datapoint_2 1664213624 3,608
offline_datapoint_4 1664213624 855,924
offline_datapoint_3 1664213624 0,753
offline_datapoint_1 1664213627 20,004
offline_datapoint_0 1664213629 7879507968,000
offline_datapoint_2 1664213627 1,785
offline_datapoint_4 1664213627 716,233
offline_datapoint_3 1664213627 1,020
offline_datapoint_1 1664213630 20,008
offline_datapoint_0 1664213632 7884562432,000
offline_datapoint_2 1664213630 3,999
offline_datapoint_4 1664213630 737,120
offline_datapoint_3 1664213630 0,754
offline_datapoint_1 1664213633 20,021
offline_datapoint_0 1664213635 7887802368,000
offline_datapoint_2 1664213633 3,114
offline_datapoint_4 1664213633 925,575
offline_datapoint_3 1664213633 1,223
offline_datapoint_1 1664213636 20,029
offline_datapoint_0 1664213638 7821185024,000
offline_datapoint_2 1664213636 2,472
offline_datapoint_4 1664213636 819,995
offline_datapoint_3 1664213636 1,050
offline_datapoint_1 1664213639 19,860
offline_datapoint_0 1664213641 7824556032,000
offline_datapoint_2 1664213639 2,115
offline_datapoint_4 1664213639 790,667
offline_datapoint_3 1664213639 0,914
offline_datapoint_1 1664213642 19,869
offline_datapoint_0 1664213644 7822946304,000
offline_datapoint_2 1664213642 2,167
offline_datapoint_4 1664213642 727,307
offline_datapoint_3 1664213642 0,628
offline_datapoint_1 1664213645 19,865
offline_datapoint_0 1664213647 7823691776,000
offline_datapoint_2 1664213645 3,108
offline_datapoint_4 1664213645 859,149
offline_datapoint_3 1664213645 0,942
offline_datapoint_1 1664213648 19,867
offline_datapoint_0 1664213650 7827103744,000
offline_datapoint_2 1664213648 2,567
offline_datapoint_4 1664213648 885,528
offline_datapoint_3 1664213648 0,820
offline_datapoint_1 1664213651 19,875
offline_datapoint_0 1664213653 7830446080,000
offline_datapoint_2 1664213651 1,771
offline_datapoint_4 1664213651 876,882
offline_datapoint_3 1664213651 0,604
offline_datapoint_1 1664213654 19,884
offline_datapoint_0 1664213656 7834624000,000
offline_datapoint_2 1664213654 2,565
offline_datapoint_4 1664213654 829,002
offline_datapoint_3 1664213654 0,959
offline_datapoint_1 1664213657 19,894
offline_datapoint_0 1664213659 7858671616,000
offline_datapoint_2 1664213657 3,238
offline_datapoint_4 1664213657 893,686
offline_datapoint_3 1664213657 0,963
offline_datapoint_1 1664213660 19,955
offline_datapoint_0 1664213662 7852535808,000
offline_datapoint_2 1664213660 2,911
offline_datapoint_4 1664213660 688,541
offline_datapoint_3 1664213660 0,717
offline_datapoint_1 1664213663 19,940
offline_datapoint_0 1664213665 7856685056,000
offline_datapoint_2 1664213663 3,824
offline_datapoint_4 1664213663 893,139
offline_datapoint_3 1664213663 0,969
offline_datapoint_1 1664213666 19,950
offline_datapoint_0 1664213668 7863402496,000
offline_datapoint_2 1664213666 2,062
offline_datapoint_4 1664213666 765,537
offline_datapoint_3 1664213666 0,696
offline_datapoint_1 1664213669 19,967
offline_datapoint_0 1664213671 7870685184,000
offline_datapoint_2 1664213669 3,615
offline_datapoint_4 1664213669 873,458
offline_datapoint_3 1664213669 1,181
offline_datapoint_1 1664213672 19,986
offline_datapoint_0 1664213674 7876808704,000
offline_datapoint_2 1664213672 2,986
offline_datapoint_4 1664213672 787,003
offline_datapoint_3 1664213672 0,738
offline_datapoint_1 1664213675 20,001
offline_datapoint_0 1664213677 7866261504,000
offline_datapoint_2 1664213675 2,850
offline_datapoint_4 1664213675 905,325
offline_datapoint_3 1664213675 1,112
offline_datapoint_1 1664213678 19,975
offline_datapoint_0 1664213680 7866929152,000
offline_datapoint_2 1664213678 3,487
offline_datapoint_4 1664213678 768,709
offline_datapoint_3 1664213678 1,448
offline_datapoint_1 1664213681 19,976
offline_datapoint_0 1664213683 7869673472,000
offline_datapoint_2 1664213681 2,433
offline_datapoint_4 1664213681 822,561
offline_datapoint_3 1664213681 0,697
offline_datapoint_1 1664213684 19,983
offline_datapoint_0 1664213686 7874375680,000
offline_datapoint_2 1664213684 3,650
offline_datapoint_4 1664213684 896,690
offline_datapoint_3 1664213684 1,541
offline_datapoint_1 1664213687 19,995
offline_datapoint_0 1664213689 7878627328,000
offline_datapoint_2 1664213687 2,137
offline_datapoint_4 1664213687 750,773
offline_datapoint_3 1664213687 1,065
offline_datapoint_1 1664213690 20,006
offline_datapoint_0 1664213692 7883800576,000
offline_datapoint_2 1664213690 5,028
offline_datapoint_4 1664213690 857,640
offline_datapoint_3 1664213690 1,377
offline_datapoint_1 1664213693 20,019
offline_datapoint_0 1664213695 7886249984,000
offline_datapoint_2 1664213693 3,425
offline_datapoint_4 1664213693 936,260
offline_datapoint_3 1664213693 1,014
offline_datapoint_1 1664213696 20,025
offline_datapoint_0 1664213698 7893778432,000
offline_datapoint_2 1664213696 3,415
offline_datapoint_4 1664213696 776,302
offline_datapoint_3 1664213696 0,860
offline_datapoint_1 1664213699 20,045
offline_datapoint_0 1664213701 7897604096,000
offline_datapoint_2 1664213699 2,420
offline_datapoint_4 1664213699 850,599
offline_datapoint_3 1664213699 1,122
offline_datapoint_1 1664213702 20,054
offline_datapoint_0 1664213704 7904919552,000
offline_datapoint_2 1664213702 3,286
offline_datapoint_4 1664213702 829,418
offline_datapoint_3 1664213702 0,908
offline_datapoint_1 1664213705 20,073
offline_datapoint_0 1664213707 7908364288,000
offline_datapoint_2 1664213705 3,619
offline_datapoint_4 1664213705 928,389
offline_datapoint_3 1664213705 1,187
offline_datapoint_1 1664213708 20,082
offline_datapoint_0 1664213710 7915413504,000
offline_datapoint_2 1664213708 3,675
offline_datapoint_4 1664213708 969,501
offline_datapoint_3 1664213708 1,142
offline_datapoint_1 1664213711 20,099
offline_datapoint_0 1664213713 7922339840,000
offline_datapoint_2 1664213711 2,172
offline_datapoint_4 1664213711 753,030
offline_datapoint_3 1664213711 0,678
offline_datapoint_1 1664213714 20,117
offline_datapoint_0 1664213716 7929012224,000
offline_datapoint_2 1664213714 3,849
offline_datapoint_4 1664213714 899,004
offline_datapoint_3 1664213714 0,934
offline_datapoint_1 1664213717 20,134
offline_datapoint_0 1664213719 7934115840,000
offline_datapoint_2 1664213717 3,572
offline_datapoint_4 1664213717 780,848
offline_datapoint_3 1664213717 0,768
offline_datapoint_1 1664213720 20,147
offline_datapoint_0 1664213722 7934193664,000
offline_datapoint_2 1664213720 4,187
offline_datapoint_4 1664213720 924,354
offline_datapoint_3 1664213720 0,756
offline_datapoint_1 1664213723 20,147
offline_datapoint_0 1664213725 7939923968,000
offline_datapoint_2 1664213723 5,885
offline_datapoint_4 1664213723 943,401
offline_datapoint_3 1664213723 1,019
offline_datapoint_1 1664213726 20,162
offline_datapoint_0 1664213728 7947382784,000
offline_datapoint_2 1664213726 3,363
offline_datapoint_4 1664213726 846,457
offline_datapoint_3 1664213726 1,132
offline_datapoint_1 1664213729 20,181
offline_datapoint_0 1664213731 7953186816,000
offline_datapoint_2 1664213729 4,253
offline_datapoint_4 1664213729 849,654
offline_datapoint_3 1664213729 0,854
offline_datapoint_1 1664213732 20,195
offline_datapoint_0 1664213734 7960121344,000
offline_datapoint_2 1664213732 2,507
offline_datapoint_4 1664213732 782,644
offline_datapoint_3 1664213732 0,915
offline_datapoint_1 1664213735 20,213
offline_datapoint_0 1664213737 7965978624,000
offline_datapoint_2 1664213735 4,280
offline_datapoint_4 1664213735 884,171
offline_datapoint_3 1664213735 0,966
offline_datapoint_1 1664213738 20,228
offline_datapoint_0 1664213740 7953342464,000
offline_datapoint_2 1664213738 3,212
offline_datapoint_4 1664213738 892,485
offline_datapoint_3 1664213738 1,377
offline_datapoint_1 1664213741 20,196
offline_datapoint_0 1664213743 7960842240,000
offline_datapoint_2 1664213741 3,268
offline_datapoint_4 1664213741 810,536
offline_datapoint_3 1664213741 1,207
offline_datapoint_1 1664213744 20,215
offline_datapoint_0 1664213746 7958376448,000
offline_datapoint_2 1664213744 3,404
offline_datapoint_4 1664213744 855,592
offline_datapoint_3 1664213744 1,002
offline_datapoint_1 1664213747 20,209
offline_datapoint_0 1664213749 7959912448,000
offline_datapoint_2 1664213747 4,587
offline_datapoint_4 1664213747 916,509
offline_datapoint_3 1664213747 1,433
offline_datapoint_1 1664213750 20,212
offline_datapoint_0 1664213752 7960162304,000
offline_datapoint_2 1664213750 3,671
offline_datapoint_4 1664213750 822,957
offline_datapoint_3 1664213750 0,978
offline_datapoint_1 1664213753 20,213
offline_datapoint_0 1664213755 7963017216,000
offline_datapoint_2 1664213753 4,266
offline_datapoint_4 1664213753 826,243
offline_datapoint_3 1664213753 1,295
offline_datapoint_1 1664213756 20,220
offline_datapoint_0 1664213758 7970140160,000
offline_datapoint_2 1664213756 3,396
offline_datapoint_4 1664213756 871,738
offline_datapoint_3 1664213756 1,475
offline_datapoint_1 1664213759 20,238
offline_datapoint_0 1664213761 7976685568,000
offline_datapoint_2 1664213759 3,724
offline_datapoint_4 1664213759 898,157
offline_datapoint_3 1664213759 1,299
offline_datapoint_1 1664213762 20,255
offline_datapoint_0 1664213764 7980593152,000
offline_datapoint_2 1664213762 3,869
offline_datapoint_4 1664213762 847,268
offline_datapoint_3 1664213762 0,531
offline_datapoint_1 1664213765 20,265
offline_datapoint_0 1664213767 7990624256,000
offline_datapoint_2 1664213765 5,436
offline_datapoint_4 1664213765 1016,800
offline_datapoint_3 1664213765 0,995
offline_datapoint_1 1664213768 20,290
offline_datapoint_0 1664213770 7998857216,000
offline_datapoint_2 1664213768 5,830
offline_datapoint_4 1664213768 1088,642
offline_datapoint_3 1664213768 0,981
offline_datapoint_1 1664213771 20,311
offline_datapoint_0 1664213773 7825391616,000
offline_datapoint_2 1664213771 2,975
offline_datapoint_4 1664213771 819,849
offline_datapoint_3 1664213771 1,151
offline_datapoint_1 1664213774 19,871
offline_datapoint_0 1664213776 8133857280,000
offline_datapoint_2 1664213774 36,020
offline_datapoint_4 1664213774 2350,055
offline_datapoint_3 1664213774 16,317
offline_datapoint_1 1664213777 20,654
offline_datapoint_0 1664213779 8243707904,000
offline_datapoint_2 1664213777 85,809
offline_datapoint_4 1664213777 7564,246
offline_datapoint_3 1664213777 184,088
offline_datapoint_1 1664213780 20,933
offline_datapoint_0 1664213782 8283553792,000
offline_datapoint_2 1664213780 57,306
offline_datapoint_4 1664213780 10093,380
offline_datapoint_3 1664213780 228,787
offline_datapoint_1 1664213783 21,034
offline_datapoint_0 1664213785 8260972544,000
offline_datapoint_2 1664213783 43,762
offline_datapoint_4 1664213783 6179,692
offline_datapoint_3 1664213783 249,981
offline_datapoint_1 1664213786 20,977
offline_datapoint_0 1664213788 8299802624,000
offline_datapoint_2 1664213786 41,742
offline_datapoint_4 1664213786 4303,134
offline_datapoint_3 1664213786 210,197
offline_datapoint_1 1664213789 21,076
offline_datapoint_0 1664213791 8321740800,000
offline_datapoint_2 1664213789 39,219
offline_datapoint_4 1664213789 3873,153
offline_datapoint_3 1664213789 129,585
offline_datapoint_1 1664213792 21,131
offline_datapoint_0 1664213794 8332836864,000
offline_datapoint_2 1664213792 41,157
offline_datapoint_4 1664213792 4216,273
