120 1663841416 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841417 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841418 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841419 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841420 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841421 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1663841422 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1663841423 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1663841424 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1663841425 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1663841426 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841427 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841428 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841429 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841430 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841431 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841432 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841433 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841434 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841435 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841436 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841437 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841438 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841439 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841440 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841441 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841442 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841443 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841444 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841445 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841446 1,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841447 1,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841448 1,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841449 1,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841450 1,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841451 1,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841452 1,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841453 1,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841454 1,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841455 1,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841456 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841457 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841458 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841459 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841460 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841461 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841462 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841463 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841464 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841465 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841466 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841467 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841468 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841469 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841470 0,600000 -1,000000 -101,000000 0,000000 0,000000
120 1663841471 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841472 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841473 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841474 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841475 0,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841476 1,000000 -1,000000 -101,000000 0,000000 0,000000
120 1663841477 1,000000 -1,000000 -101,000000 0,000000 0,000000
120 1663841478 1,000000 -1,000000 -101,000000 0,000000 0,000000
120 1663841479 1,000000 -1,000000 -101,000000 0,000000 0,000000
120 1663841480 1,000000 -1,000000 -101,000000 0,000000 0,000000
120 1663841481 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841482 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841483 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841484 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841485 0,800000 -1,000000 -101,000000 0,000000 0,000000
120 1663841486 1,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841487 1,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841488 1,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841489 1,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841490 1,400000 -1,000000 -101,000000 0,000000 0,000000
120 1663841491 1,200000 -1,000000 -101,000000 0,000000 0,000000
120 1663841492 1,200000 -1,000000 -101,000000 0,000000 0,000000
120 1663841493 1,200000 -1,000000 -101,000000 0,000000 0,000000
