1664224334	0	1664224335
1664224335	1	1664224344
1664224344	2	1664224354
1664224354	3	1664224364
1664224364	4	1664224374
1664224374	5	1664224384
1664224384	6	1664224394
1664224394	7	1664224404
1664224404	8	1664224414
1664224414	9	1664224424
1664224424	10	1664224434
1664224434	11	1664224444
1664224444	12	1664224454
1664224454	13	1664224464
1664224464	14	1664224475
1664224475	15	1664224485
1664224485	16	1664224495
1664224495	17	1664224505
1664224505	18	1664224515
1664224515	19	1664224525
1664224525	20	1664224535
1664224535	21	1664224545
1664224545	22	1664224555
1664224555	23	1664224565
1664224565	24	1664224575
1664224575	25	1664224585
1664224585	26	1664224595
1664224595	27	1664224605
1664224605	28	1664224615
1664224615	29	1664224625
1664224625	30	1664224635
1664224635	31	1664224645
1664224645	32	1664224655
1664224655	33	1664224665
1664224665	34	1664224675
1664224675	35	1664224685
1664224685	36	1664224695
1664224695	37	1664224705
1664224705	38	1664224715
1664224715	39	1664224725
1664224725	40	1664228635
1664228635	39	1664228645
1664228645	38	1664228650
1664228650	37	1664228655
1664228655	36	1664228675
1664228675	35	1664228685
1664228685	34	1664228688
1664228688	33	1664228695
1664228695	32	1664228705
1664228705	31	1664228735
1664228735	30	1664228738
1664228738	29	1664228745
1664228745	28	1664228748
1664228748	27	1664228755
1664228755	26	1664228775
1664228775	25	1664228786
1664228786	24	1664228788
1664228788	23	1664228796
1664228796	22	1664228806
1664228806	21	1664228836
1664228836	20	1664228838
1664228838	19	1664228846
1664228846	18	1664228848
1664228848	17	1664228856
1664228856	16	1664228876
1664228876	15	1664228886
1664228886	14	1664228888
1664228888	13	1664228896
1664228896	12	1664228906
1664228906	11	1664228936
1664228936	10	1664228939
1664228939	9	1664228946
1664228946	8	1664228949
1664228949	7	1664228956
1664228956	6	1664228976
1664228976	5	1664228986
1664228986	4	1664228989
1664228989	3	1664228996
1664228996	2	1664229006
1664229006	1	1664229039
