22 1664213534 0,053526 0,200000 0,053526 0,053526 0,000573
19 1664213534 0,000174 0,200000 0,000174 0,000174 0,000000
22 1664213535 0,053526 0,200000 0,053526 0,053526 0,000573
19 1664213535 0,000174 0,200000 0,000174 0,000174 0,000000
22 1664213536 0,053526 0,200000 0,053526 0,053526 0,000573
19 1664213536 0,000174 0,200000 0,000174 0,000174 0,000000
22 1664213537 0,053526 0,200000 0,053526 0,053526 0,000573
19 1664213537 0,000174 0,200000 0,000174 0,000174 0,000000
22 1664213538 0,053526 0,200000 0,053526 0,053526 0,000573
19 1664213538 0,000174 0,200000 0,000174 0,000174 0,000000
25 1664213539 0,079026 0,200000 0,079026 0,079026 0,001249
25 1664213540 0,079026 0,200000 0,079026 0,079026 0,001249
25 1664213541 0,079026 0,200000 0,079026 0,079026 0,001249
25 1664213542 0,079026 0,200000 0,079026 0,079026 0,001249
25 1664213543 0,079026 0,200000 0,079026 0,079026 0,001249
22 1664213544 0,052563 0,200000 0,052563 0,052563 0,000553
19 1664213544 0,000180 0,200000 0,000180 0,000180 0,000000
40 1664213544 0,103347 0,200000 0,103347 0,103347 0,002136
40 1664213545 0,103347 0,200000 0,103347 0,103347 0,002136
19 1664213545 0,000180 0,200000 0,000180 0,000180 0,000000
22 1664213545 0,052563 0,200000 0,052563 0,052563 0,000553
22 1664213546 0,052563 0,200000 0,052563 0,052563 0,000553
19 1664213546 0,000180 0,200000 0,000180 0,000180 0,000000
40 1664213546 0,103347 0,200000 0,103347 0,103347 0,002136
22 1664213547 0,052563 0,200000 0,052563 0,052563 0,000553
19 1664213547 0,000180 0,200000 0,000180 0,000180 0,000000
40 1664213547 0,103347 0,200000 0,103347 0,103347 0,002136
22 1664213548 0,052563 0,200000 0,052563 0,052563 0,000553
19 1664213548 0,000180 0,200000 0,000180 0,000180 0,000000
40 1664213548 0,103347 0,200000 0,103347 0,103347 0,002136
25 1664213549 0,080006 0,200000 0,080006 0,080006 0,001280
44 1664213549 0,040461 0,200000 0,040461 0,040461 0,000327
25 1664213550 0,080006 0,200000 0,080006 0,080006 0,001280
44 1664213550 0,040461 0,200000 0,040461 0,040461 0,000327
25 1664213551 0,080006 0,200000 0,080006 0,080006 0,001280
44 1664213551 0,040461 0,200000 0,040461 0,040461 0,000327
25 1664213552 0,080006 0,200000 0,080006 0,080006 0,001280
44 1664213552 0,040461 0,200000 0,040461 0,040461 0,000327
25 1664213553 0,080006 0,200000 0,080006 0,080006 0,001280
44 1664213553 0,040461 0,200000 0,040461 0,040461 0,000327
22 1664213554 0,052432 0,200000 0,052432 0,052432 0,000550
22 1664213555 0,052432 0,200000 0,052432 0,052432 0,000550
19 1664213554 0,000160 0,200000 0,000160 0,000160 0,000000
19 1664213555 0,000160 0,200000 0,000160 0,000160 0,000000
47 1664213554 0,034133 0,200000 0,034133 0,034133 0,000233
47 1664213555 0,034133 0,200000 0,034133 0,034133 0,000233
40 1664213554 0,107177 0,200000 0,107177 0,107177 0,002297
40 1664213555 0,107177 0,200000 0,107177 0,107177 0,002297
22 1664213556 0,052432 0,200000 0,052432 0,052432 0,000550
19 1664213556 0,000160 0,200000 0,000160 0,000160 0,000000
47 1664213556 0,034133 0,200000 0,034133 0,034133 0,000233
40 1664213556 0,107177 0,200000 0,107177 0,107177 0,002297
22 1664213557 0,052432 0,200000 0,052432 0,052432 0,000550
19 1664213557 0,000160 0,200000 0,000160 0,000160 0,000000
47 1664213557 0,034133 0,200000 0,034133 0,034133 0,000233
40 1664213557 0,107177 0,200000 0,107177 0,107177 0,002297
22 1664213558 0,052432 0,200000 0,052432 0,052432 0,000550
19 1664213558 0,000160 0,200000 0,000160 0,000160 0,000000
47 1664213558 0,034133 0,200000 0,034133 0,034133 0,000233
40 1664213558 0,107177 0,200000 0,107177 0,107177 0,002297
25 1664213559 0,079640 0,200000 0,079640 0,079640 0,001269
50 1664213559 0,042607 0,200000 0,042607 0,042607 0,000363
44 1664213559 0,039376 0,200000 0,039376 0,039376 0,000310
25 1664213560 0,079640 0,200000 0,079640 0,079640 0,001269
50 1664213560 0,042607 0,200000 0,042607 0,042607 0,000363
44 1664213560 0,039376 0,200000 0,039376 0,039376 0,000310
25 1664213561 0,079640 0,200000 0,079640 0,079640 0,001269
50 1664213561 0,042607 0,200000 0,042607 0,042607 0,000363
44 1664213561 0,039376 0,200000 0,039376 0,039376 0,000310
25 1664213562 0,079640 0,200000 0,079640 0,079640 0,001269
50 1664213562 0,042607 0,200000 0,042607 0,042607 0,000363
44 1664213562 0,039376 0,200000 0,039376 0,039376 0,000310
25 1664213563 0,079640 0,200000 0,079640 0,079640 0,001269
50 1664213563 0,042607 0,200000 0,042607 0,042607 0,000363
44 1664213563 0,039376 0,200000 0,039376 0,039376 0,000310
56 1664213564 0,098920 0,400000 0,096223 0,101616 0,003917
59 1664213564 20,422372 0,200000 20,422372 20,422372 83,414656
22 1664213564 0,052900 0,200000 0,052900 0,052900 0,000560
19 1664213564 0,000196 0,200000 0,000196 0,000196 0,000000
62 1664213564 0,096697 0,200000 0,096697 0,096697 0,001870
47 1664213564 0,043503 0,200000 0,043503 0,043503 0,000379
53 1664213564 20,422458 0,200000 20,422458 20,422458 83,415358
56 1664213565 0,098920 0,400000 0,096223 0,101616 0,003917
59 1664213565 20,422372 0,200000 20,422372 20,422372 83,414656
22 1664213565 0,052900 0,200000 0,052900 0,052900 0,000560
19 1664213565 0,000196 0,200000 0,000196 0,000196 0,000000
62 1664213565 0,096697 0,200000 0,096697 0,096697 0,001870
47 1664213565 0,043503 0,200000 0,043503 0,043503 0,000379
53 1664213565 20,422458 0,200000 20,422458 20,422458 83,415358
56 1664213566 0,098920 0,400000 0,096223 0,101616 0,003917
59 1664213566 20,422372 0,200000 20,422372 20,422372 83,414656
22 1664213566 0,052900 0,200000 0,052900 0,052900 0,000560
19 1664213566 0,000196 0,200000 0,000196 0,000196 0,000000
62 1664213566 0,096697 0,200000 0,096697 0,096697 0,001870
47 1664213566 0,043503 0,200000 0,043503 0,043503 0,000379
53 1664213566 20,422458 0,200000 20,422458 20,422458 83,415358
56 1664213567 0,098920 0,400000 0,096223 0,101616 0,003917
59 1664213567 20,422372 0,200000 20,422372 20,422372 83,414656
22 1664213567 0,052900 0,200000 0,052900 0,052900 0,000560
19 1664213567 0,000196 0,200000 0,000196 0,000196 0,000000
62 1664213567 0,096697 0,200000 0,096697 0,096697 0,001870
47 1664213567 0,043503 0,200000 0,043503 0,043503 0,000379
