offline_datapoint_1 1663841417 18,070
offline_datapoint_0 1663841419 7116001280,000
offline_datapoint_3 1663841417 6,110
offline_datapoint_6 1663841417 1510,714
offline_datapoint_7 1663841417 0,139
offline_datapoint_2 1663841417 0,013
offline_datapoint_4 1663841417 0,212
offline_datapoint_5 1663841417 0,679
offline_datapoint_1 1663841420 18,116
offline_datapoint_0 1663841422 7134408704,000
offline_datapoint_3 1663841420 6,863
offline_datapoint_6 1663841420 697,263
offline_datapoint_7 1663841420 0,199
offline_datapoint_2 1663841420 0,000
offline_datapoint_4 1663841420 0,406
offline_datapoint_5 1663841420 0,771
offline_datapoint_1 1663841423 18,119
offline_datapoint_0 1663841425 7135600640,000
offline_datapoint_3 1663841423 1,746
offline_datapoint_6 1663841423 548,047
offline_datapoint_7 1663841423 0,406
offline_datapoint_2 1663841423 0,000
offline_datapoint_4 1663841423 0,421
offline_datapoint_5 1663841423 0,977
offline_datapoint_1 1663841426 18,117
offline_datapoint_0 1663841428 7134838784,000
offline_datapoint_3 1663841426 0,446
offline_datapoint_6 1663841426 546,542
offline_datapoint_7 1663841426 0,421
offline_datapoint_2 1663841426 0,000
offline_datapoint_4 1663841426 0,198
offline_datapoint_5 1663841426 0,478
offline_datapoint_1 1663841429 18,149
offline_datapoint_0 1663841431 7147347968,000
offline_datapoint_3 1663841429 3,633
offline_datapoint_6 1663841429 656,515
offline_datapoint_7 1663841429 0,198
offline_datapoint_2 1663841429 0,000
offline_datapoint_4 1663841429 0,073
offline_datapoint_5 1663841429 0,429
offline_datapoint_1 1663841432 18,148
offline_datapoint_0 1663841434 7146852352,000
offline_datapoint_3 1663841432 0,935
offline_datapoint_6 1663841432 489,284
offline_datapoint_7 1663841432 0,073
offline_datapoint_2 1663841432 0,000
offline_datapoint_4 1663841432 0,135
offline_datapoint_5 1663841432 0,639
offline_datapoint_1 1663841435 18,150
offline_datapoint_0 1663841437 7147548672,000
offline_datapoint_3 1663841435 1,901
offline_datapoint_6 1663841435 627,477
offline_datapoint_7 1663841435 0,135
offline_datapoint_2 1663841435 0,000
offline_datapoint_4 1663841435 0,124
offline_datapoint_5 1663841435 0,806
offline_datapoint_1 1663841438 18,181
offline_datapoint_0 1663841440 7160086528,000
offline_datapoint_3 1663841438 3,774
offline_datapoint_6 1663841438 650,870
offline_datapoint_7 1663841438 0,124
offline_datapoint_2 1663841438 0,000
offline_datapoint_4 1663841438 0,392
offline_datapoint_5 1663841438 0,393
offline_datapoint_1 1663841441 18,186
offline_datapoint_0 1663841443 7161679872,000
offline_datapoint_3 1663841441 1,380
offline_datapoint_6 1663841441 533,516
offline_datapoint_7 1663841441 0,392
offline_datapoint_2 1663841441 0,066
offline_datapoint_4 1663841441 0,192
offline_datapoint_5 1663841441 0,500
offline_datapoint_1 1663841444 18,171
offline_datapoint_0 1663841446 7156015104,000
